"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"All Leads",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Reproducciones de vídeo",ThruPlays,"Coste por ThruPlay","ThruPlay / Video Plays Conversion Rate","Reproducciones de vídeo de 3 segundos","Coste por reproducción de video de 3 segundos","Reproducciones de vídeo hasta el 50 %","Visitas a la página de destino","Porcentaje de visitas a la página de destino por clics en el enlace","Coste por visita a la página de destino","Landing page views / Link clicks Conversion Rate","Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"All Interests - All Leads","BG - Copy 3","2025-02-12 - 2025-02-18",75,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AI,Ad4,"New Sales Ad - Copy 2","2025-02-12 - 2025-02-18",1400,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Banners","AISchool_Visuals - Copy","2025-02-12 - 2025-02-18",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ML,Video_AllPlacements_Static_Charlie_Short,"2025-02-12 - 2025-02-18",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_DV,Ad3,"New Sales Ad","2025-02-12 - 2025-02-18",3869,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - All Leads - Pau",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_Pau,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,12,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - BST 1-2% - Elsa Music",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_BG3,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,12,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_EN_BG,02_Prospecting_Interests_Dorian2,02_Video_DEC_2_2,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,148,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_Tech,10_Prospecting_LLA_BST_BCAS,08_Video_BCAS,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,96,Diario,36.48,"All Leads",,,,,1533,1751,4,0.22844089,9.12,20.83380925,1503,21,1.73714286,0.01397206,151,0.2415894,34,4,100,9.12,1,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_EN,"LLA 5-10% - 1.2M","Ad1 - Copy","2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,64,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners","AISchool_Data - Copy 2","2025-02-12 - 2025-02-18",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_Data,"2025-02-12 - 2025-02-18",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Videos",AISchool_UISkills,"2025-02-12 - 2025-02-18",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_AIProducts,"2025-02-12 - 2025-02-18",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_UISkills - Copy","2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_LLA_Apps_QApps1to2_240827,Video_AllPlacements_Static_Elsa,"2025-02-12 - 2025-02-18",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests,Video_AllPlacements_Static_Marta,"2025-02-12 - 2025-02-18",3500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set","AISchool_AIProducts - Copy","2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_LLA_Interests,Image_01_LastCall,"2025-02-12 - 2025-02-18",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,Prospecting_LLA2_QApps_en,01_Video_v4_1,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,70,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Conversion_Leads__EN,"JS - Lead Generation - Audience #2 - Copy","New Conversions Ad - Copy 2","2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,350,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set",AISchool_AIProducts,"2025-02-12 - 2025-02-18","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ComputerScience,Video_AllPlacements_Static_Charlie_Long,"2025-02-12 - 2025-02-18",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-12,2025-02-18
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_Data,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_LLA_Apps_QApps1to2_240827,Video_AllPlacements_Static_Elsa,"2025-02-05 - 2025-02-11",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests,Video_AllPlacements_Static_Marta,"2025-02-05 - 2025-02-11",3500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Videos",AISchool_UISkills,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_LLA_Interests,Image_01_LastCall,"2025-02-05 - 2025-02-11",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,Prospecting_LLA2_QApps_en,01_Video_v4_1,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,70,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set","AISchool_AIProducts - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Conversion_Leads__EN,"JS - Lead Generation - Audience #2 - Copy","New Conversions Ad - Copy 2","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,350,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set",AISchool_AIProducts,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ComputerScience,Video_AllPlacements_Static_Charlie_Long,"2025-02-05 - 2025-02-11",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_AIProducts,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_DV,Ad3,"New Sales Ad","2025-02-05 - 2025-02-11",3869,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA - BST 1-2% - Elsa Extra",BG_AllCourses_EN_Prospecting_AllPlacements_Video_ElsaExtra,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,10,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"LLA 5-10% - 1.2M","Ad1 - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,64,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_Tech,10_Prospecting_LLA_BST_BCAS,08_Video_BCAS,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,96,Diario,881.26,"All Leads",14,62.94714286,11,14,23244,40886,152,0.3717654,5.79776316,21.55407719,36215,591,1.49113367,0.0163192,4313,0.20432645,1040,90,59.21052632,9.79177778,0.59210526,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_EN_BG,02_Prospecting_Interests_Dorian2,02_Video_DEC_2_2,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,148,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - BST 1-2% - Elsa Music",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_BG3,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,12,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - All Leads - Pau",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_Pau,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,12,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ML,Video_AllPlacements_Static_Charlie_Short,"2025-02-05 - 2025-02-11",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Banners","AISchool_Visuals - Copy","2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AI,Ad4,"New Sales Ad - Copy 2","2025-02-05 - 2025-02-11",1400,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"All Interests - All Leads","BG - Copy 3","2025-02-05 - 2025-02-11",75,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,08_Prospecting_LLA,02_Video_1Year2-5,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,143,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_UISkills - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners","AISchool_Data - Copy 2","2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_DV,IT,"New Sales Ad - Copy","2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
"RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP - NO",Prospecting_LLA_BST_2,AllPlacements_Static,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,23,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_1Year_EN_ABO_Merge,08_Prospecting_Broad,03_Video_Rika_Oct,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,181,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Data,RTG,AverageSalary_DA_EN_RTG_AllPlacements_Carousel,"2025-02-05 - 2025-02-11",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"Generic+CD - 7.2M","Ad1 - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,64,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_EN_CBO,Prospecting_FBAudience_Marie_2410,Video_AllPlacements_Static,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,54,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Professional Development","AISchool_AI_EN_Prospecting_AllPlacement_StaticBanner - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,250,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"Generic+CD - 7.2M",Ad1,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,64,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AI,Ad5,"New Sales Ad - Copy 2","2025-02-05 - 2025-02-11",1400,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - All Leads - Image",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_LaunchYourTechCareer,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,11,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_1Year_SW_EN_CBO,04_Prospecting_LLA_QApps_AI,01_Video_Dorian2_6,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,89,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"All Interests - Web Application",Influencer,"2025-02-05 - 2025-02-11",120,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_DV,Ad2,"New Sales Ad","2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_EN_BCAS,03_Retargeting_Visitors_30d,R3_Image_LastCallMay25,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,200,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP,Prospecting_LLA_BST_2,AllPlacements_Static,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,20,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_DA,"DA - Web Application",UGC_AllCourses_EN_Prospecting_AllPlacements_ChatGPTShortVersion,"2025-02-05 - 2025-02-11",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA  - BST 1% - Pau",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_Pau,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,20,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,Prospecting_Broad_EN,10VID_h1_UProbablyHeardAI,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,107,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_AI,Image_AllPlacements_Static_15off,"2025-02-05 - 2025-02-11",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Data,"LAA - Data",AverageSalary_DA_EN_Lookalike_AllPlacements_Carousel,"2025-02-05 - 2025-02-11",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_DV,Ad2,"New Sales Ad - Copy 2","2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - LLA - Image",BG_AllCourses_EN_Lookalike_AllPlacements_StaticBanner_LevelUpYourCareer,"2025-02-05 - 2025-02-11",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
"RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP - NO",Prospecting_FBAudience_Interests,AllPlacements_Static,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,23,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_Visuals - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_Data,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_A/BTest,"All Interests - All Leads - Image",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_TransformYourCareer,"2025-02-05 - 2025-02-11",1777,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_ML,"Data Analysis","DataScience_EN_Prospecting_AllPlacements_Video - Copy","2025-02-05 - 2025-02-11",686,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Marta_July24,"2025-02-05 - 2025-02-11",104,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"All Interests - All Leads - Image",BG_AllCourses_EN_Prospecting_AllPlacements_StaticBanner_LevelUpYourCareer,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,11,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_InformationTech,Image_AllPlacements_Static_15off,"2025-02-05 - 2025-02-11",4657,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"All Interests - All Leads","BG - Copy 3","2025-02-05 - 2025-02-11",330,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Juliette,"2025-02-05 - 2025-02-11",4657,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ML,Video_AllPlacements_Static_Charlie_Long,"2025-02-05 - 2025-02-11",87,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"RTG - All Leads","BG - Copy 2","2025-02-05 - 2025-02-11",120,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_Broad,Video_AllPlacements_Static,"2025-02-05 - 2025-02-11",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Data,"Prospecting - Data",AverageSalary_DA_EN_Lookalike_AllPlacements_Carousel,"2025-02-05 - 2025-02-11",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"All Interests - All Leads","BG - Copy 3","2025-02-05 - 2025-02-11",430,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN,"Generic -17.9M",Ad1,"2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,32,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"All Interests - LLA - Image",BG_AllCourses_EN_LookalikeAudience_AllPlacements_StaticBanner_TransformYourCareer,"2025-02-05 - 2025-02-11",2500,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"JobHunting - Financing + SYLLABUS","BG - Copy 2","2025-02-05 - 2025-02-11",75,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_AIProducts - Copy","2025-02-05 - 2025-02-11","Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_UISkills,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Banners",AISchool_UISkills,"2025-02-05 - 2025-02-11",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-02-05,2025-02-11
